lon,lat
12.75,78
12.75,78.25
12.75,78.5
12.75,78.75
12.75,79
13,78
13,78.25
13,78.5
13,78.75
13,79
13.25,78
13.25,78.25
13.25,78.5
13.25,78.75
13.25,79
13.5,78
13.5,78.25
13.5,78.5
13.5,78.75
13.5,79
13.75,78
13.75,78.25
13.75,78.5
13.75,78.75
13.75,79
14,78
14,78.25
14,78.5
14,78.75
14,79
14.25,78
14.25,78.25
14.25,78.5
14.25,78.75
14.25,79
14.5,78
14.5,78.25
14.5,78.5
14.5,78.75
14.5,79
14.75,78
14.75,78.25
14.75,78.5
14.75,78.75
14.75,79
15,78
15,78.25
15,78.5
15,78.75
15,79
15.25,78
15.25,78.25
15.25,78.5
15.25,78.75
15.25,79
15.5,78
15.5,78.25
15.5,78.5
15.5,78.75
15.5,79
15.75,78
15.75,78.25
15.75,78.5
15.75,78.75
15.75,79
16,78
16,78.25
16,78.5
16,78.75
16,79
16.25,78
16.25,78.25
16.25,78.5
16.25,78.75
16.25,79
16.5,78
16.5,78.25
16.5,78.5
16.5,78.75
16.5,79
16.75,78
16.75,78.25
16.75,78.5
16.75,78.75
16.75,79
17,78
17,78.25
17,78.5
17,78.75
17,79
17.25,78
17.25,78.25
17.25,78.5
17.25,78.75
17.25,79
17.5,78
17.5,78.25
17.5,78.5
17.5,78.75
17.5,79
